cod_dep,depto,codigo,municipio,perdida_bruta_ha,ganancia_bruta_ha,balance_neto_cobertura_ha,tipo_unidad
9,Quetzaltenango,924,Palestina de los Altos,0.0,0.0,0.0,Municipio
10,Suchitepéquez,1001,Mazatenango,241.2400374,194.25723035,46.98280705000002,Municipio
10,Suchitepéquez,1002,Cuyotenango,188.77831539,412.88612273,-224.10780734,Municipio
10,Suchitepéquez,1003,San Francisco Zapotitlán,36.66900784,120.55420587,-83.88519803,Municipio
10,Suchitepéquez,1004,San Bernardino,19.77415026,88.1529864,-68.37883614,Municipio
10,Suchitepéquez,1005,San José El Ídolo,190.87294514,955.78243684,-764.9094917,Municipio
10,Suchitepéquez,1006,Santo Domingo Suchitepéquez,136.48999041,898.5997205,-762.10973009,Municipio
10,Suchitepéquez,1007,San Lorenzo,126.72262279,839.0529908,-712.33036801,Municipio
10,Suchitepéquez,1008,Samayac,35.58067904,377.71362538,-342.13294634,Municipio
10,Suchitepéquez,1009,San Pablo Jocopila,0.0,3.09767968,-3.09767968,Municipio
10,Suchitepéquez,1010,San Antonio Suchitepéquez,113.60916827,346.97711911,-233.36795084,Municipio
10,Suchitepéquez,1011,San Miguel Panán,36.40669881,201.33360076,-164.92690195,Municipio
10,Suchitepéquez,1012,San Gabriel,12.43215724,9.70087846,2.73127878,Municipio
10,Suchitepéquez,1013,Chicacao,268.44690356,2458.07019508,-2189.62329152,Municipio
10,Suchitepéquez,1014,Patulul,308.3218701,617.73741772,-309.41554762000004,Municipio
10,Suchitepéquez,1015,Santa Bárbara,277.96774702,1485.22533038,-1207.25758336,Municipio
10,Suchitepéquez,1016,San Juan Bautista,52.53596972,466.68758867,-414.15161895000006,Municipio
10,Suchitepéquez,1017,Santo Tomas La Unión,0.60596426,0.0,0.60596426,Municipio
